uf_nome,uf_sigla,uf_cod,uf_reg,populacao
Acre,AC,12,Norte,829780
Alagoas,AL,27,Nordeste,3125254
Amapá,AP,16,Norte,774268
Amazonas,AM,13,Norte,3952262
Bahia,BA,29,Nordeste,14659023
Ceará,CE,23,Nordeste,8936431
Distrito Federal,DF,53,Centro-oeste,2923369
Espírito Santo,ES,32,Sudeste,3975100
Goiás,GO,52,Centro-oeste,6950976
Maranhão,MA,21,Nordeste,6800605
Mato Grosso,MT,51,Sudeste,3784239
Mato Grosso do Sul,MS,50,Centro-oeste,2833742
Minas Gerais,MG,31,Centro-oeste,20732660
Pará,PA,15,Norte,8442962
Paraíba,PB,25,Nordeste,4030961
Paraná,PR,41,Sul,11835379
Pernambuco,PE,26,Nordeste,9051113
Piauí,PI,22,Nordeste,3270174
Rio de Janeiro,RJ,33,Sudeste,16615526
Rio Grande do Norte,RN,24,Nordeste,3303953
Rio Grande do Sul,RS,43,Sul,11088065
Rondônia,RO,11,Norte,1616379
Roraima,RR,14,Norte,634805
Santa Catarina,SC,42,Sul,7762154
São Paulo,SP,35,Sudeste,46024937
Sergipe,SE,28,Nordeste,2211868
Tocantins,TO,17,Norte,1584306
